"_id","ability_1","ability_2","against_bug","against_dark","against_dragon","against_electric","against_fairy","against_fight","against_fire","against_flying","against_ghost","against_grass","against_ground","against_ice","against_normal","against_poison","against_psychic","against_rock","against_steel","against_water","atk","catch_rate","category","chinese_name","defense","english_name","exp_100","generation","hatch_time","height_m","hp","image_url","male_ratio","spatk","spdef","speed","total","type_1","type_2","weight_kg"
"020","逃跑 或 毅力","活力隱藏特性","1","1","1","1","1","2","1","1","0","1","1","1","1","1","1","1","1","1","81","16.6%","鼠宝可梦","拉达","60","Raticate","1,000,000","第一世代寶可夢","3855步","0.7","55","https://media.52poke.com/wiki/thumb/f/f4/020Raticate.png/600px-020Raticate.png","50%","50","70","97","413","一般",,"8.5"
"021","锐利目光","狙击手隱藏特性","1⁄2","1","1","2","1","1","1","1","0","1⁄2","0","2","1","1","1","2","1","1","60","33.3%","小鸟宝可梦","烈雀","30","Spearow","1,000,000","第一世代寶可夢","3855步","0.3","40","https://media.52poke.com/wiki/8/8b/021Spearow.png","50%","31","31","70","262","一般","飞行","2.0"
"022","锐利目光","狙击手隱藏特性","1⁄2","1","1","2","1","1","1","1","0","1⁄2","0","2","1","1","1","2","1","1","90","11.8%","鸟嘴宝可梦","大嘴雀","65","Fearow","1,000,000","第一世代寶可夢","3855步","1.2","65","https://media.52poke.com/wiki/a/a0/022Fearow.png","50%","61","61","100","442","一般","飞行","8.0"
"023","威吓 或 蜕皮","紧张感隱藏特性","1⁄2","1","1","1","1⁄2","1⁄2","1","1","1","1⁄2","2","1","1","1⁄2","2","1","1","1","60","33.3%","蛇宝可梦","阿柏蛇","44","Ekans","1,000,000","第一世代寶可夢","5140步","2.0","35","https://media.52poke.com/wiki/f/fa/023Ekans.png","50%","40","54","55","288","毒",,"6.9"
"024","威吓 或 蜕皮","紧张感隱藏特性","1⁄2","1","1","1","1⁄2","1⁄2","1","1","1","1⁄2","2","1","1","1⁄2","2","1","1","1","95","11.8%","眼镜蛇宝可梦","阿柏怪","69","Arbok","1,000,000","第一世代寶可夢","5140步","3.5","60","https://media.52poke.com/wiki/c/cd/024Arbok.png","50%","65","79","80","448","毒",,"5.0"
"025","静电","避雷针隱藏特性","1","1","1","0","1","1","1","1⁄2","1","1","2","1","1","1","1","1","1⁄2","1","55","24.8%","鼠宝可梦","皮卡丘","40","Pikachu","1,000,000","第一世代寶可夢","2570步","0.4","35","https://media.52poke.com/wiki/thumb/0/0d/025Pikachu.png/520px-025Pikachu.png","50%","50","50","90","320","电",,"6.0"
"026","静电","避雷针隱藏特性","1","1","1","0","1","1","1","1⁄2","1","1","2","1","1","1","1","1","1⁄2","1","90","9.8%","鼠宝可梦","雷丘","55","Raichu","1,000,000","第一世代寶可夢","2570步","0.8","60","https://media.52poke.com/wiki/thumb/8/88/026Raichu.png/600px-026Raichu.png","50%","90","80","110","485","电",,"0.0"
"027","沙隐","拨沙隱藏特性","1","1","1","0","1","1","1","1","1","2","1","2","1","1⁄2","1","1⁄2","1","2","75","33.3%","鼠宝可梦","穿山鼠","85","Sandshrew","1,000,000","第一世代寶可夢","5140步","0.6","50","https://media.52poke.com/wiki/thumb/9/9e/027Sandshrew.png/600px-027Sandshrew.png","50%","20","30","40","300","地面",,"2.0"
"028","沙隐","拨沙隱藏特性","1","1","1","0","1","1","1","1","1","2","1","2","1","1⁄2","1","1⁄2","1","2","100","11.8%","鼠宝可梦","穿山王","110","Sandslash","1,000,000","第一世代寶可夢","5140步","1.0","75","https://media.52poke.com/wiki/thumb/0/0b/028Sandslash.png/600px-028Sandslash.png","50%","45","55","65","450","地面",,"9.5"
"029","毒刺 或 斗争心","活力隱藏特性","1⁄2","1","1","1","1⁄2","1⁄2","1","1","1","1⁄2","2","1","1","1⁄2","2","1","1","1","47","30.7%","毒针宝可梦","尼多兰","52","Nidoran♀","1,059,860","第一世代寶可夢","5140步","0.4","55","https://media.52poke.com/wiki/8/80/029Nidoran%E2%99%80.png","100%","40","40","41","275","毒",,"7.0"
"030","毒刺 或 斗争心","活力隱藏特性","1⁄2","1","1","1","1⁄2","1⁄2","1","1","1","1⁄2","2","1","1","1⁄2","2","1","1","1","62","15.7%","毒针宝可梦","尼多娜","67","Nidorina","1,059,860","第一世代寶可夢","5140步","0.8","70","https://media.52poke.com/wiki/c/cd/030Nidorina.png","100%","55","55","56","365","毒",,"0.0"
"031","毒刺 或 斗争心","强行隱藏特性","1⁄2","1","1","0","1⁄2","1⁄2","1","1","1","1","2","2","1","1⁄4","2","1⁄2","1","2","92","5.9%","钻锥宝可梦","尼多后","87","Nidoqueen","1,059,860","第一世代寶可夢","5140步","1.3","90","https://media.52poke.com/wiki/b/bf/031Nidoqueen.png","100%","75","85","76","505","毒","地面","0.0"
"032","毒刺 或 斗争心","活力隱藏特性","1⁄2","1","1","1","1⁄2","1⁄2","1","1","1","1⁄2","2","1","1","1⁄2","2","1","1","1","57","30.7%","毒针宝可梦","尼多朗","40","Nidoran♂","1,059,860","第一世代寶可夢","5140步","0.5","46","https://media.52poke.com/wiki/0/02/032Nidoran%E2%99%82.png","100%","40","40","50","273","毒",,"9.0"
"033","毒刺 或 斗争心","活力隱藏特性","1⁄2","1","1","1","1⁄2","1⁄2","1","1","1","1⁄2","2","1","1","1⁄2","2","1","1","1","72","15.7%","毒针宝可梦","尼多力诺","57","Nidorino","1,059,860","第一世代寶可夢","5140步","0.9","61","https://media.52poke.com/wiki/9/9f/033Nidorino.png","100%","55","55","65","365","毒",,"9.5"
"034","毒刺 或 斗争心","强行隱藏特性","1⁄2","1","1","0","1⁄2","1⁄2","1","1","1","1","2","2","1","1⁄4","2","1⁄2","1","2","102","5.9%","钻锥宝可梦","尼多王","77","Nidoking","1,059,860","第一世代寶可夢","5140步","1.4","81","https://media.52poke.com/wiki/c/c6/034Nidoking.png","100%","85","75","85","505","毒","地面","2.0"
"035","迷人之躯 或 魔法防守","友情防守隱藏特性","1⁄2","1⁄2","0","1","1","1⁄2","1","1","1","1","1","1","1","2","1","1","2","1","45","19.6%","妖精宝可梦","皮皮","48","Clefairy","800,000","第一世代寶可夢","2570步","0.6","70","https://media.52poke.com/wiki/f/f4/035Clefairy.png","25%","60","65","35","323","妖精",,"7.5"
"036","迷人之躯 或 魔法防守","纯朴隱藏特性","1⁄2","1⁄2","0","1","1","1⁄2","1","1","1","1","1","1","1","2","1","1","2","1","70","3.3%","妖精宝可梦","皮可西","73","Clefable","800,000","第一世代寶可夢","2570步","1.3","95","https://media.52poke.com/wiki/a/a9/036Clefable.png","25%","95","90","60","483","妖精",,"0.0"
"037","引火","日照隱藏特性","1⁄2","1","1","1","1⁄2","1","0","1","1","1⁄2","2","1⁄2","1","1","1","2","1⁄2","2","41","24.8%","狐狸宝可梦","六尾","40","Vulpix","1,000,000","第一世代寶可夢","5140步","0.6","38","https://media.52poke.com/wiki/thumb/6/60/037Vulpix.png/600px-037Vulpix.png","25%","50","65","65","299","火",,"9.9"
"038","引火","日照隱藏特性","1⁄2","1","1","1","1⁄2","1","0","1","1","1⁄2","2","1⁄2","1","1","1","2","1⁄2","2","76","9.8%","狐狸宝可梦","九尾","75","Ninetales","1,000,000","第一世代寶可夢","5140步","1.1","73","https://media.52poke.com/wiki/thumb/0/05/038Ninetales.png/600px-038Ninetales.png","25%","81","100","100","505","火",,"9.9"
"039","迷人之躯 或 好胜","友情防守隱藏特性","1⁄2","1⁄2","0","1","1","1","1","1","0","1","1","1","1","2","1","1","2","1","45","22.2%","气球宝可梦","胖丁","20","Jigglypuff","800,000","第一世代寶可夢","2570步","0.5","115","https://media.52poke.com/wiki/thumb/3/3e/039Jigglypuff.png/600px-039Jigglypuff.png","25%","45","25","20","270","一般","妖精","5.5"
"040","迷人之躯 或 好胜","察觉隱藏特性","1⁄2","1⁄2","0","1","1","1","1","1","0","1","1","1","1","2","1","1","2","1","70","6.5%","气球宝可梦","胖可丁","45","Wigglytuff","800,000","第一世代寶可夢","2570步","1.0","140","https://media.52poke.com/wiki/9/92/040Wigglytuff.png","25%","85","50","45","435","一般","妖精","2.0"
"041","精神力","穿透隱藏特性","1⁄4","1","1","2","1⁄2","1⁄4","1","1","1","1⁄4","0","2","1","1⁄2","2","2","1","1","45","33.3%","蝙蝠宝可梦","超音蝠","35","Zubat","1,000,000","第一世代寶可夢","3855步","0.8","40","https://media.52poke.com/wiki/d/da/041Zubat.png","50%","30","40","55","245","毒","飞行","7.5"
"042","精神力","穿透隱藏特性","1⁄4","1","1","2","1⁄2","1⁄4","1","1","1","1⁄4","0","2","1","1⁄2","2","2","1","1","80","11.8%","蝙蝠宝可梦","大嘴蝠","70","Golbat","1,000,000","第一世代寶可夢","3855步","1.6","75","https://media.52poke.com/wiki/0/0c/042Golbat.png","50%","65","75","90","455","毒","飞行","5.0"
"043","叶绿素","逃跑隱藏特性","1","1","1","1⁄2","1⁄2","1⁄2","2","2","1","1⁄4","1","2","1","1","2","1","1","1⁄2","50","33.3%","杂草宝可梦","走路草","55","Oddish","1,059,860","第一世代寶可夢","5140步","0.5","45","https://media.52poke.com/wiki/4/43/043Oddish.png","50%","75","65","30","320","草","毒","5.4"
"044","叶绿素","恶臭隱藏特性","1","1","1","1⁄2","1⁄2","1⁄2","2","2","1","1⁄4","1","2","1","1","2","1","1","1⁄2","65","15.7%","杂草宝可梦","臭臭花","70","Gloom","1,059,860","第一世代寶可夢","5140步","0.8","60","https://media.52poke.com/wiki/2/2a/044Gloom.png","50%","85","75","40","395","草","毒","8.6"
"045","叶绿素","孢子隱藏特性","1","1","1","1⁄2","1⁄2","1⁄2","2","2","1","1⁄4","1","2","1","1","2","1","1","1⁄2","80","5.9%","花宝可梦","霸王花","85","Vileplume","1,059,860","第一世代寶可夢","5140步","1.2","75","https://media.52poke.com/wiki/6/6a/045Vileplume.png","50%","110","90","50","490","草","毒","8.6"
"046","孢子 或 干燥皮肤","湿气隱藏特性","2","1","1","1⁄2","1","1⁄2","5","4","1","1⁄4","1⁄4","2","1","2","1","2","1","0","70","24.8%","蘑菇宝可梦","派拉斯","55","Paras","1,000,000","第一世代寶可夢","5140步","0.3","35","https://media.52poke.com/wiki/d/d4/046Paras.png","50%","45","55","25","285","虫","草","5.4"
"047","孢子 或 干燥皮肤","湿气隱藏特性","2","1","1","1⁄2","1","1⁄2","5","4","1","1⁄4","1⁄4","2","1","2","1","2","1","0","95","9.8%","蘑菇宝可梦","派拉斯特","80","Parasect","1,000,000","第一世代寶可夢","5140步","1.0","60","https://media.52poke.com/wiki/8/80/047Parasect.png","50%","60","80","30","405","虫","草","9.5"
"048","复眼 或 有色眼镜","逃跑隱藏特性","1⁄2","1","1","1","1⁄2","1⁄4","2","2","1","1⁄4","1","1","1","1⁄2","2","2","1","1","55","24.8%","昆虫宝可梦","毛球","50","Venonat","1,000,000","第一世代寶可夢","5140步","1.0","60","https://media.52poke.com/wiki/a/ad/048Venonat.png","50%","40","55","45","305","虫","毒","0.0"
"049","鳞粉 或 有色眼镜","奇迹皮肤隱藏特性","1⁄2","1","1","1","1⁄2","1⁄4","2","2","1","1⁄4","1","1","1","1⁄2","2","2","1","1","65","9.8%","毒蛾宝可梦","摩鲁蛾","60","Venomoth","1,000,000","第一世代寶可夢","5140步","1.5","70","https://media.52poke.com/wiki/d/d3/049Venomoth.png","50%","90","75","90","450","虫","毒","2.5"
"050","沙隐 或 沙穴","沙之力隱藏特性","1","1","1","0","1","1","1","1","1","2","1","2","1","1⁄2","1","1⁄2","1","2","55","33.3%","鼹鼠宝可梦","地鼠","25","Diglett","1,000,000","第一世代寶可夢","5140步","0.2","10","https://media.52poke.com/wiki/thumb/3/31/050Diglett.png/600px-050Diglett.png","50%","35","45","95","265","地面",,"0.8"
"051","沙隐 或 沙穴","沙之力隱藏特性","1","1","1","0","1","1","1","1","1","2","1","2","1","1⁄2","1","1⁄2","1","2","100","6.5%","鼹鼠宝可梦","三地鼠","50","Dugtrio","1,000,000","第一世代寶可夢","5140步","0.7","35","https://media.52poke.com/wiki/thumb/e/e5/051Dugtrio.png/600px-051Dugtrio.png","50%","50","70","120","425","地面",,"3.3"
"052","捡拾 或 技术高手","紧张感隱藏特性","1","1","1","1","1","2","1","1","0","1","1","1","1","1","1","1","1","1","45","33.3%","妖怪猫宝可梦","喵喵","35","Meowth","1,000,000","第一世代寶可夢","5140步","0.4","40","https://media.52poke.com/wiki/thumb/d/d6/052Meowth.png/600px-052Meowth.png","50%","40","40","90","290","一般",,"4.2"
"053","柔软 或 技术高手","紧张感隱藏特性","1","1","1","1","1","2","1","1","0","1","1","1","1","1","1","1","1","1","70","11.8%","暹罗猫宝可梦","猫老大","60","Persian","1,000,000","第一世代寶可夢","5140步","1.0","65","https://media.52poke.com/wiki/1/13/053Persian.png","50%","65","65","115","440","一般",,"2.0"
"054","湿气 或 无关天气","悠游自如隱藏特性","1","1","1","2","1","1","1⁄2","1","1","2","1","1⁄2","1","1","1","1","1⁄2","1⁄2","52","24.8%","鸭宝可梦","可达鸭","48","Psyduck","1,000,000","第一世代寶可夢","5140步","0.8","50","https://media.52poke.com/wiki/thumb/5/53/054Psyduck.png/600px-054Psyduck.png","50%","65","50","55","320","水",,"9.6"
"055","湿气 或 无关天气","悠游自如隱藏特性","1","1","1","2","1","1","1⁄2","1","1","2","1","1⁄2","1","1","1","1","1⁄2","1⁄2","82","9.8%","鸭宝可梦","哥达鸭","78","Golduck","1,000,000","第一世代寶可夢","5140步","1.7","80","https://media.52poke.com/wiki/thumb/f/fe/055Golduck.png/600px-055Golduck.png","50%","95","80","85","500","水",,"6.6"
"056","干劲 或 愤怒穴位","不服输隱藏特性","1⁄2","1⁄2","1","1","2","1","1","2","1","1","1","1","1","1","2","1⁄2","1","1","80","24.8%","猪猴宝可梦","猴怪","35","Mankey","1,000,000","第一世代寶可夢","5140步","0.5","40","https://media.52poke.com/wiki/4/41/056Mankey.png","50%","35","45","70","305","格斗",,"8.0"
"057","干劲 或 愤怒穴位","不服输隱藏特性","1⁄2","1⁄2","1","1","2","1","1","2","1","1","1","1","1","1","2","1⁄2","1","1","105","9.8%","豬猴宝可梦","火暴猴","60","Primeape","1,000,000","第一世代寶可夢","5140步","1.0","65","https://media.52poke.com/wiki/9/9a/057Primeape.png","50%","60","70","95","455","格斗",,"2.0"
"058","威吓 或 引火","正义之心隱藏特性","1⁄2","1","1","1","1⁄2","1","0","1","1","1⁄2","2","1⁄2","1","1","1","2","1⁄2","2","70","24.8%","小狗宝可梦","卡蒂狗","45","Growlithe","1,250,000","第一世代寶可夢","5140步","0.7","55","https://media.52poke.com/wiki/thumb/3/3d/058Growlithe.png/600px-058Growlithe.png","75%","70","50","60","350","火",,"9.0"
"059","威吓 或 引火","正义之心隱藏特性","1⁄2","1","1","1","1⁄2","1","0","1","1","1⁄2","2","1⁄2","1","1","1","2","1⁄2","2","110","9.8%","传说宝可梦","风速狗","80","Arcanine","1,250,000","第一世代寶可夢","5140步","1.9","90","https://media.52poke.com/wiki/thumb/b/b8/059Arcanine.png/600px-059Arcanine.png","75%","100","80","95","555","火",,"155"
"060","储水 或 湿气","悠游自如隱藏特性","1","1","1","2","1","1","1⁄2","1","1","2","1","1⁄2","1","1","1","1","1⁄2","0","50","33.3%","蝌蚪宝可梦","蚊香蝌蚪","40","Poliwag","1,059,860","第一世代寶可夢","5140步","0.6","40","https://media.52poke.com/wiki/4/49/060Poliwag.png","50%","40","40","90","300","水",,"2.4"
"061","储水 或 湿气","悠游自如隱藏特性","1","1","1","2","1","1","1⁄2","1","1","2","1","1⁄2","1","1","1","1","1⁄2","0","65","15.7%","蝌蚪宝可梦","蚊香君","65","Poliwhirl","1,059,860","第一世代寶可夢","5140步","1.0","65","https://media.52poke.com/wiki/a/a9/061Poliwhirl.png","50%","50","50","90","385","水",,"0.0"
"062","储水 或 湿气","悠游自如隱藏特性","1⁄2","1⁄2","1","2","2","1","1⁄2","2","1","2","1","1⁄2","1","1","2","1⁄2","1⁄2","0","95","5.9%","蝌蚪宝可梦","蚊香泳士","95","Poliwrath","1,059,860","第一世代寶可夢","5140步","1.3","90","https://media.52poke.com/wiki/2/2d/062Poliwrath.png","50%","70","90","70","510","水","格斗","4.0"
"063","同步 或 精神力","魔法防守隱藏特性","2","2","1","1","1","1⁄2","1","1","2","1","1","1","1","1","1⁄2","1","1","1","20","26.1%","念力宝可梦","凯西","15","Abra","1,059,860","第一世代寶可夢","5140步","0.9","25","https://media.52poke.com/wiki/6/62/063Abra.png","75%","105","55","90","310","超能力",,"9.5"
"064","同步 或 精神力","魔法防守隱藏特性","2","2","1","1","1","1⁄2","1","1","2","1","1","1","1","1","1⁄2","1","1","1","35","13.1%","念力宝可梦","勇基拉","30","Kadabra","1,059,860","第一世代寶可夢","5140步","1.3","40","https://media.52poke.com/wiki/9/97/064Kadabra.png","75%","120","70","105","400","超能力",,"6.5"
"065","同步 或 精神力","魔法防守隱藏特性","2","2","1","1","1","1⁄2","1","1","2","1","1","1","1","1","1⁄2","1","1","1","50","6.5%","念力宝可梦","胡地","45","Alakazam","1,059,860","第一世代寶可夢","5140步","1.5","55","https://media.52poke.com/wiki/c/cc/065Alakazam.png","75%","135","95","120","500","超能力",,"8.0"
"066","毅力 或 无防守","不屈之心隱藏特性","1⁄2","1⁄2","1","1","2","1","1","2","1","1","1","1","1","1","2","1⁄2","1","1","80","23.5%","怪力宝可梦","腕力","50","Machop","1,059,860","第一世代寶可夢","5140步","0.8","70","https://media.52poke.com/wiki/8/85/066Machop.png","75%","35","35","35","305","格斗",,"9.5"
"067","毅力 或 无防守","不屈之心隱藏特性","1⁄2","1⁄2","1","1","2","1","1","2","1","1","1","1","1","1","2","1⁄2","1","1","100","11.8%","怪力宝可梦","豪力","70","Machoke","1,059,860","第一世代寶可夢","5140步","1.5","80","https://media.52poke.com/wiki/8/8e/067Machoke.png","75%","50","60","45","405","格斗",,"0.5"
"068","毅力 或 无防守","不屈之心隱藏特性","1⁄2","1⁄2","1","1","2","1","1","2","1","1","1","1","1","1","2","1⁄2","1","1","130","5.9%","怪力宝可梦","怪力","80","Machamp","1,059,860","第一世代寶可夢","5140步","1.6","90","https://media.52poke.com/wiki/8/8f/068Machamp.png","75%","65","85","55","505","格斗",,"130"
"069","叶绿素","贪吃鬼隱藏特性","1","1","1","1⁄2","1⁄2","1⁄2","2","2","1","1⁄4","1","2","1","1","2","1","1","1⁄2","75","33.3%","花宝可梦","喇叭芽","35","Bellsprout","1,059,860","第一世代寶可夢","5140步","0.7","50","https://media.52poke.com/wiki/a/a2/069Bellsprout.png","50%","70","30","40","300","草","毒","4.0"
"070","叶绿素","贪吃鬼隱藏特性","1","1","1","1⁄2","1⁄2","1⁄2","2","2","1","1⁄4","1","2","1","1","2","1","1","1⁄2","90","15.7%","捕蝇宝可梦","口呆花","50","Weepinbell","1,059,860","第一世代寶可夢","5140步","1.0","65","https://media.52poke.com/wiki/9/9f/070Weepinbell.png","50%","85","45","55","390","草","毒","6.4"
"071","叶绿素","贪吃鬼隱藏特性","1","1","1","1⁄2","1⁄2","1⁄2","2","2","1","1⁄4","1","2","1","1","2","1","1","1⁄2","105","5.9%","捕蝇宝可梦","大食花","65","Victreebel","1,059,860","第一世代寶可夢","5140步","1.7","80","https://media.52poke.com/wiki/b/be/071Victreebel.png","50%","100","70","70","490","草","毒","5.5"
"072","恒净之躯 或 污泥浆","雨盘隱藏特性","1⁄2","1","1","2","1⁄2","1⁄2","1⁄2","1","1","1","2","1⁄2","1","1⁄2","2","1","1⁄2","1⁄2","40","24.8%","水母宝可梦","玛瑙水母","35","Tentacool","1,250,000","第一世代寶可夢","5140步","0.9","40","https://media.52poke.com/wiki/4/4e/072Tentacool.png","50%","50","100","70","335","水","毒","5.5"
"073","恒净之躯 或 污泥浆","雨盘隱藏特性","1⁄2","1","1","2","1⁄2","1⁄2","1⁄2","1","1","1","2","1⁄2","1","1⁄2","2","1","1⁄2","1⁄2","70","7.8%","水母宝可梦","毒刺水母","65","Tentacruel","1,250,000","第一世代寶可夢","5140步","1.6","80","https://media.52poke.com/wiki/f/f6/073Tentacruel.png","50%","80","120","100","515","水","毒","5.0"
