pokedex,name,japanese_name,chinese-name,classfication,type1,type2,abilities,percentage_male,height_m,weight_kg,base_total,hp,attack,defense,sp_attack,sp_defense,speed,base_happiness,capture_rate,generation,is_legendary,base_egg_steps,experience_growth,against_normal,against_fight,against_flying,against_poison,against_ground,against_rock,against_bug,against_ghost,against_steel,against_fire,against_water,against_grass,against_electric,against_psychic,against_ice,against_dragon,against_dark,against_fairy,img_url
12,Butterfree,Butterfree閵夋劑鍋妷鏇樺劧閵,宸村ぇ铦 / 宸村ぇ铦禕膩d脿di茅,Butterfly Pok鑼卪on,bug,flying,"['Compoundeyes', 'Tinted Lens']",50.0,1.1,32.0,395,60,45,50,90,80,70,70.0,45,1,0,3840,1000000,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/d/d1/012Butterfree.png/600px-012Butterfree.png
13,Weedle,Beedle閵夋挶鍏楅妷澶堝劮,鐛ㄨ锜 / 鐙铏獶煤ji菐och贸ng,Hairy Pok鑼卪on,bug,poison,"['Shield Dust', 'Run Away']",50.0,0.3,3.2,195,40,35,30,20,20,50,70.0,255,1,0,3840,1000000,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,https://media.52poke.com/wiki/thumb/d/df/013Weedle.png/600px-013Weedle.png
14,Kakuna,Cocoon閵堢偨鍋楅妷绗哄厒,閻垫铔 / 閾佸３铔筎i臎k茅y菕ng,Cocoon Pok鑼卪on,bug,poison,['Shed Skin'],50.0,0.6,10.0,205,45,25,50,25,25,35,70.0,120,1,0,3840,1000000,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,https://media.52poke.com/wiki/f/f0/014Kakuna.png
15,Beedrill,Spear閵堝箍鍎熼妶鈧厳,澶ч嚌铚 / 澶ч拡铚侱脿zh膿nf膿ng,Poison Bee Pok鑼卪on,bug,poison,"['Swarm', 'Sniper']",50.0,1.0,29.5,495,65,150,40,15,80,145,70.0,45,1,0,3840,1000000,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,https://media.52poke.com/wiki/thumb/6/61/015Beedrill.png/600px-015Beedrill.png
16,Pidgey,Poppo閵夋縿鍎嶉妷,娉㈡尝 / 娉㈡尝B艒b艒,Tiny Bird Pok鑼卪on,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",50.0,0.3,1.8,251,40,45,40,35,35,56,70.0,255,1,0,3840,1059860,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/5/55/016Pidgey.png/600px-016Pidgey.png
17,Pidgeotto,Pigeon閵夋柣鍋㈤妷褋鍏,姣旀瘮槌 / 姣旀瘮楦烞菒b菒ni菐o,Bird Pok鑼卪on,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",50.0,1.1,30.0,349,63,60,55,50,50,71,70.0,120,1,0,3840,1059860,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/7/7a/017Pidgeotto.png/600px-017Pidgeotto.png
18,Pidgeot,Pigeot閵夋柣鍋㈤妷褋鍎嶉妷,澶ф瘮槌 / 澶ф瘮楦烡脿b菒ni菐o,Bird Pok鑼卪on,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",50.0,1.5,39.5,579,83,80,80,135,80,121,70.0,45,1,0,3840,1059860,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/5/57/018Pidgeot.png/600px-018Pidgeot.png
19,Rattata,Koratta閵堢偨鍎甸妷鍐﹀仾,灏忔媺閬 / 灏忔媺杈綳i菐ol膩d谩,Mouse Pok鑼卪on,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",50.0,0.3,3.5,253,30,56,35,25,35,72,70.0,255,1,0,3840,1000000,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/4/46/019Rattata.png/600px-019Rattata.png
20,Raticate,Ratta閵夆斂鍎嶉妶,鎷夐仈 / 鎷夎揪L膩d谩,Mouse Pok鑼卪on,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",50.0,0.7,18.5,413,75,71,70,40,80,77,70.0,127,1,0,3840,1000000,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/f/f4/020Raticate.png/600px-020Raticate.png
21,Spearow,Onisuzume閵堝剸閵堝箍鍋ら妷,鐑堥泙 / 鐑堥泙Li猫qu猫,Tiny Bird Pok鑼卪on,normal,flying,"['Keen Eye', 'Sniper']",50.0,0.3,2.0,262,40,60,30,31,31,70,70.0,255,1,0,3840,1000000,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/8/8b/021Spearow.png
22,Fearow,Onidrill閵堝剸閵夊鍎堕妷,澶у槾闆 / 澶у槾闆D脿zu菒qu猫,Beak Pok鑼卪on,normal,flying,"['Keen Eye', 'Sniper']",50.0,1.2,38.0,442,65,90,65,61,61,100,70.0,90,1,0,3840,1000000,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/a/a0/022Fearow.png
23,Ekans,Arbo閵堚偓鍏楅妷,闃挎煆铔 / 闃挎煆铔嚹b贸sh茅,Snake Pok鑼卪on,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",50.0,2.0,6.9,288,35,60,44,40,54,55,70.0,255,1,0,5120,1000000,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,https://media.52poke.com/wiki/f/fa/023Ekans.png
24,Arbok,Arbok閵堚偓鍏楅妷婧垮剭閵,闃挎煆鎬 / 闃挎煆鎬b贸gu脿i,Cobra Pok鑼卪on,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",50.0,3.5,65.0,448,60,95,69,65,79,80,70.0,90,1,0,5120,1000000,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,https://media.52poke.com/wiki/c/cd/024Arbok.png
25,Pikachu,Pikachu閵夋柣鍋掗妷浣靛劚閵,鐨崱涓 / 鐨崱涓楶铆k菐qi奴,Mouse Pok鑼卪on,electric,,"['Static', 'Lightningrod']",50.0,0.4,6.0,320,35,55,40,50,50,90,70.0,190,1,0,2560,1000000,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/0/0d/025Pikachu.png/520px-025Pikachu.png
26,Raichu,Raichu閵夆斂鍋嗛妷浣靛劚閵,闆蜂笜 / 闆蜂笜L茅iqi奴,Mouse Pok鑼卪on,electric,electric,"['Static', 'Lightningrod', 'Surge Surfer']",50.0,0.8,30.0,485,60,85,50,95,85,110,70.0,75,1,0,2560,1000000,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/8/88/026Raichu.png/600px-026Raichu.png
27,Sandshrew,Sand閵堢偣鍏傞妷,绌垮北榧 / 绌垮北榧燙hu膩nsh膩nsh菙,Mouse Pok鑼卪on,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",50.0,0.6,12.0,300,50,75,90,10,35,40,70.0,255,1,0,5120,1000000,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/9/9e/027Sandshrew.png/600px-027Sandshrew.png
28,Sandslash,Sandpan閵堢偣鍏傞妷澶堝劀閵,绌垮北鐜 / 绌垮北鐜婥hu膩nsh膩nw谩ng,Mouse Pok鑼卪on,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",50.0,1.0,29.5,450,75,100,120,25,65,65,70.0,90,1,0,5120,1000000,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/0/0b/028Sandslash.png/600px-028Sandslash.png
29,Nidoran閳,Nidoran?閵夊鍎旈妷鈹垮厒閳,灏煎铇 / 灏煎鍏癗铆du艒l谩n,Poison Pin Pok鑼卪on,poison,,"['Poison Point', 'Rivalry', 'Hustle']",0.0,0.4,7.0,275,55,47,52,40,40,41,70.0,235,1,0,5120,1059860,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,https://media.52poke.com/wiki/8/80/029Nidoran%E2%99%80.png
30,Nidorina,Nidorina閵夊鍎旈妷鍏楅妷,灏煎濞 / 灏煎濞淣铆du艒n脿,Poison Pin Pok鑼卪on,poison,,"['Poison Point', 'Rivalry', 'Hustle']",0.0,0.8,20.0,365,70,62,67,55,55,56,70.0,120,1,0,5120,1059860,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,https://media.52poke.com/wiki/c/cd/030Nidorina.png
31,Nidoqueen,Nidoqueen閵夊鍎旈妶鍋嗛妷,灏煎鍚 / 灏煎鍚嶯铆du艒h貌u,Drill Pok鑼卪on,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",0.0,1.3,60.0,505,90,92,87,75,85,76,70.0,45,1,0,5120,1059860,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5,https://media.52poke.com/wiki/b/bf/031Nidoqueen.png
32,Nidoran閳,Nidoran?閵夊鍎旈妷鈹垮厒閳,灏煎鏈 / 灏煎鏈桸铆du艒l谩ng,Poison Pin Pok鑼卪on,poison,,"['Poison Point', 'Rivalry', 'Hustle']",100.0,0.5,9.0,273,46,57,40,40,40,50,70.0,235,1,0,5120,1059860,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,https://media.52poke.com/wiki/0/02/032Nidoran%E2%99%82.png
33,Nidorino,Nidorino閵夊鍎旈妷鍏楅妷,灏煎鍔涜 / 灏煎鍔涜N铆du艒l矛nu貌,Poison Pin Pok鑼卪on,poison,,"['Poison Point', 'Rivalry', 'Hustle']",100.0,0.9,19.5,365,61,72,57,55,55,65,70.0,120,1,0,5120,1059860,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,https://media.52poke.com/wiki/9/9f/033Nidorino.png
34,Nidoking,Nidoking閵夊鍎旈妶鍏傞妶,灏煎鐜 / 灏煎鐜婲铆du艒w谩ng,Drill Pok鑼卪on,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",100.0,1.4,62.0,505,81,102,77,85,75,85,70.0,45,1,0,5120,1059860,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5,https://media.52poke.com/wiki/c/c6/034Nidoking.png
35,Clefairy,Pippi閵夋柣鍎嶉妷,鐨毊 / 鐨毊P铆p铆,Fairy Pok鑼卪on,fairy,,"['Cute Charm', 'Magic Guard', 'Friend Guard']",24.6,0.6,7.5,323,70,45,48,60,65,35,140.0,150,1,0,2560,800000,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,https://media.52poke.com/wiki/f/f4/035Clefairy.png
36,Clefable,Pixy閵夋柣鍋楅妶鏋厳,鐨彲瑗 / 鐨彲瑗縋铆k臎x墨,Fairy Pok鑼卪on,fairy,,"['Cute Charm', 'Magic Guard', 'Unaware']",24.6,1.3,40.0,483,95,70,73,95,90,60,140.0,25,1,0,2560,800000,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,https://media.52poke.com/wiki/a/a9/036Clefable.png
37,Vulpix,Rokon閵夊仢閵,鍏熬 / 鍏熬Li霉w臎i,Fox Pok鑼卪on,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",24.6,0.6,9.9,299,38,41,40,50,65,65,70.0,190,1,0,5120,1000000,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,https://media.52poke.com/wiki/thumb/6/60/037Vulpix.png/600px-037Vulpix.png
38,Ninetales,Kyukon閵堝劚閵堬负鍋濋妷,涔濆熬 / 涔濆熬Ji菙w臎i,Fox Pok鑼卪on,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",24.6,1.1,19.9,505,73,67,75,81,100,109,70.0,75,1,0,5120,1000000,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,https://media.52poke.com/wiki/thumb/0/05/038Ninetales.png/600px-038Ninetales.png
39,Jigglypuff,Purin閵夋ぜ鍎堕妷,鑳栦竵 / 鑳栦竵P脿ngd墨ng,Balloon Pok鑼卪on,normal,fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",24.6,0.5,5.5,270,115,45,20,45,25,20,70.0,170,1,0,2560,800000,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,https://media.52poke.com/wiki/thumb/3/3e/039Jigglypuff.png/600px-039Jigglypuff.png
40,Wigglytuff,Pukurin閵夋ぜ鍋楅妷鍏,鑳栧彲涓 / 鑳栧彲涓丳脿ngk臎d墨ng,Balloon Pok鑼卪on,normal,fairy,"['Cute Charm', 'Competitive', 'Frisk']",24.6,1.0,12.0,435,140,70,45,85,50,45,70.0,50,1,0,2560,800000,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,https://media.52poke.com/wiki/9/92/040Wigglytuff.png
41,Zubat,Zubat閵堟亽鍎涢妷鍐﹀創,瓒呴煶铦 / 瓒呴煶铦燙h膩oy墨nf煤,Bat Pok鑼卪on,poison,flying,"['Inner Focus', 'Infiltrator']",50.0,0.8,7.5,245,40,45,35,30,40,55,70.0,255,1,0,3840,1000000,1.0,0.25,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,0.25,2.0,2.0,2.0,1.0,1.0,0.5,https://media.52poke.com/wiki/d/da/041Zubat.png
42,Golbat,Golbat閵堟番鍎烽妷鎰╁剭閵,澶у槾铦 / 澶у槾铦燚脿zu菒f煤,Bat Pok鑼卪on,poison,flying,"['Inner Focus', 'Infiltrator']",50.0,1.6,55.0,455,75,80,70,65,75,90,70.0,90,1,0,3840,1000000,1.0,0.25,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,0.25,2.0,2.0,2.0,1.0,1.0,0.5,https://media.52poke.com/wiki/0/0c/042Golbat.png
43,Oddish,Nazonokusa閵夊ǹ鍋╅妷搴涘仐閵,璧拌矾鑽 / 璧拌矾鑽塟菕ul霉c菐o,Weed Pok鑼卪on,grass,poison,"['Chlorophyll', 'Run Away']",50.0,0.5,5.4,320,45,50,55,75,65,30,70.0,255,1,0,5120,1059860,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,https://media.52poke.com/wiki/4/43/043Oddish.png
44,Gloom,Kusaihana閵堝仧閵堛們鍎氶妷,鑷嚟鑺 / 鑷嚟鑺盋h貌uch貌uhu膩,Weed Pok鑼卪on,grass,poison,"['Chlorophyll', 'Stench']",50.0,0.8,8.6,395,60,65,70,85,75,40,70.0,120,1,0,5120,1059860,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,https://media.52poke.com/wiki/2/2a/044Gloom.png
45,Vileplume,Ruffresia閵夆斂鍎犻妷鍋￠妶,闇哥帇鑺 / 闇哥帇鑺盉脿w谩nghu膩,Flower Pok鑼卪on,grass,poison,"['Chlorophyll', 'Effect Spore']",50.0,1.2,18.6,490,75,80,85,110,90,50,70.0,45,1,0,5120,1059860,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,https://media.52poke.com/wiki/6/6a/045Vileplume.png
46,Paras,Paras閵夋垯鍎甸妶,娲炬媺鏂 / 娲炬媺鏂疨脿il膩s墨,Mushroom Pok鑼卪on,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",50.0,0.3,5.4,285,35,70,55,45,55,25,70.0,190,1,0,5120,1000000,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/d/d4/046Paras.png
47,Parasect,Parasect閵夋垯鍎甸妶姹囧仐閵,娲炬媺鏂壒 / 娲炬媺鏂壒P脿il膩s墨t猫,Mushroom Pok鑼卪on,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",50.0,1.0,29.5,405,60,95,80,60,80,30,70.0,75,1,0,5120,1000000,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/8/80/047Parasect.png
48,Venonat,Kongpang閵堢偨鍏傞妷鎴欏厒,姣涚悆 / 姣涚悆M谩oqi煤,Insect Pok鑼卪on,bug,poison,"['Compoundeyes', 'Tinted Lens', 'Run Away']",50.0,1.0,30.0,305,60,55,50,40,55,45,70.0,190,1,0,5120,1000000,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,https://media.52poke.com/wiki/a/ad/048Venonat.png
49,Venomoth,Morphon閵夆偓鍎烽妷鏇樺亹閵,鎽╅铔 / 鎽╅瞾铔綧贸l菙'茅,Poison Moth Pok鑼卪on,bug,poison,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",50.0,1.5,12.5,450,70,65,60,90,75,90,70.0,75,1,0,5120,1000000,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,https://media.52poke.com/wiki/d/d3/049Venomoth.png
50,Diglett,Digda閵夊洢鍋呴妶鑸剦,鍦伴紶 / 鍦伴紶D矛sh菙,Mole Pok鑼卪on,ground,ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",50.0,0.2,0.8,265,10,55,30,35,45,90,70.0,255,1,0,5120,1000000,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/3/31/050Diglett.png/600px-050Diglett.png
51,Dugtrio,Dugtrio閵夐妶鑸創閵夊亼,涓夊湴榧 / 涓夊湴榧燬膩nd矛sh菙,Mole Pok鑼卪on,ground,ground,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",50.0,0.7,33.3,425,35,100,60,50,70,110,70.0,50,1,0,5120,1000000,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/e/e5/051Dugtrio.png/600px-051Dugtrio.png
52,Meowth,Nyarth閵夊鍎妷绗哄仯,鍠靛柕 / 鍠靛柕Mi膩omi膩o,Scratch Cat Pok鑼卪on,normal,dark,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",50.0,0.4,4.2,290,40,35,35,50,40,90,70.0,255,1,0,5120,1000000,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/d/d6/052Meowth.png/600px-052Meowth.png
